Planet Number,Epoch,T0 Observed,Model Prediction,CTT Residuals
0,133,,2196.751348314031,
0,134,,2200.8222630531964,
0,135,,2204.8931001318747,
0,136,,2208.9638595500683,
0,137,,2213.0345413077753,
0,138,,2217.105145404996,
0,139,,2221.1756718417314,
0,140,,2225.246120617981,
0,141,,2229.3164917337444,
0,142,,2233.386785189022,
0,143,,2237.4570009838135,
0,144,,2241.527139118119,
0,145,,2245.5971995919394,
0,146,,2249.667182405273,
0,147,,2253.737087558121,
0,148,,2257.806915050483,
0,149,,2261.8766648823594,
0,150,,2265.9463370537496,
0,151,,2270.015931564654,
0,152,,2274.0854484150723,
0,153,,2278.1548876050047,
0,154,,2282.2242491344514,
0,155,,2286.293533003412,
0,156,,2290.362739211887,
0,157,,2294.431867759876,
0,158,,2298.500918647379,
0,159,,2302.5698918743956,
0,160,,2306.638787440927,
0,161,,2310.7076053469723,
0,162,,2314.776345592532,
0,163,,2318.845008177605,
0,164,,2322.913593102193,
0,165,,2326.982100366294,
0,166,,2331.05052996991,
0,167,,2335.11888191304,
0,168,,2339.1871561956837,
0,169,,2343.255352817842,
0,170,,2347.3234717795135,
0,171,,2351.3915130807004,
0,172,,2355.4594767214003,
0,173,,2359.527362701615,
0,174,,2363.5951710213435,
0,175,,2367.662901680586,
0,176,,2371.7305546793423,
0,177,,2375.7981300176134,
0,178,,2379.865627695398,
0,179,,2383.933047712697,
0,180,,2388.00039006951,
0,181,,2392.067654765837,
0,182,,2396.1348418016787,
0,183,,2400.2019511770336,
0,184,,2404.2689828919033,
0,185,,2408.3359369462864,
0,186,,2412.4028133401844,
0,187,,2416.4696120735957,
0,188,,2420.5363331465214,
0,189,,2424.6029765589615,
0,190,,2428.6695423109154,
0,191,,2432.736030402383,
0,192,,2436.8024408333654,
0,193,,2440.8687736038614,
0,194,,2444.935028713872,
0,195,,2449.0012061633965,
0,196,,2453.0673059524347,
0,197,,2457.1333280809877,
0,198,,2461.199272549054,
0,199,,2465.265139356635,
0,200,,2469.33092850373,
0,201,,2473.396639990339,
0,202,,2477.4622738164617,
0,203,,2481.527829982099,
0,204,,2485.59330848725,
